,TOTAL_SHARES,FREE_FLOAT_SHARES,EPS_TTM,BPS,WEST_EPS_2017,WEST_EPS_2018,WEST_EPS_2019
300216.SZ,361434920.0,243924518.0,0.580205211743,3.3402,0.268000006676,0.357699990273,0.545000016689
300217.SZ,1273493706.0,749107680.0,0.0367559465504,1.428,0.101700000465,0.153099998832,0.19280000031
300218.SZ,216987000.0,91812394.0,0.233544595621,4.6462,0.371800005436,0.512300014496,0.691699981689
300219.SZ,670975693.0,358901566.0,0.227962275244,2.841,0.526199996471,0.713900029659,0.888499975204
300220.SZ,126000000.0,57873893.0,0.0584980614286,2.2926,0.260899990797,0.302899986506,
300221.SZ,505688470.0,240325783.0,0.304339708161,4.1037,0.644699990749,0.873799979687,1.12730002403
300222.SZ,728123556.0,226173647.0,0.398445993581,5.0934,0.481900006533,0.609099984169,0.737699985504
300223.SZ,166400000.0,79338869.0,0.074817876262,6.6084,0.27009999752,0.361299991608,0.485000014305
300224.SZ,835129111.0,331366609.0,0.196743796194,5.4147,0.321900010109,0.42689999938,0.541100025177
300225.SZ,470340000.0,328299102.0,0.13574157839,1.8704,0.172199994326,0.206200003624,0.227500006557
300226.SZ,159437500.0,109196807.0,0.150226216543,3.1858,0.508199989796,0.966899991035,1.63759994507
300227.SZ,149777652.0,87952809.0,0.163290656139,2.8477,0.327100008726,0.575299978256,0.790099978447
300228.SZ,473905092.0,378060892.0,-0.536385365659,3.698,0.259900003672,0.386099994183,0.506699979305
300229.SZ,471637546.0,197395704.0,0.275677108964,3.4894,0.372500002384,0.479699999094,0.619599997997
300230.SZ,251915445.0,81146398.0,0.815354821893,10.2548,1.32400000095,1.62469995022,2.0188999176
300231.SZ,342509550.0,244015988.0,0.347634361232,1.8584,0.481700003147,0.655399978161,0.86210000515
300232.SZ,630010986.0,267634328.0,0.311069704505,2.7272,0.48679998517,0.66740000248,1.05200004578
300233.SZ,393152238.0,128168475.0,0.439439997058,9.3773,0.932699978352,1.15439999104,1.40939998627
300234.SZ,289534588.0,104363938.0,0.0531954972164,3.4601,0.115999996662,0.160099998116,0.235699996352
300235.SZ,167831090.0,76690931.0,0.100442925622,3.5008,0.345899999142,0.445600003004,0.572499990463
300236.SZ,193765944.0,89957341.0,0.290332504147,6.5053,0.494800001383,0.712999999523,0.911599993706
300237.SZ,807262506.0,104911200.0,0.596236445744,3.3687,0.842599987984,1.19449996948,1.50880002975
300238.SZ,265155701.0,187451986.0,0.259472103751,5.2641,0.483799993992,0.753199994564,0.975199997425
300239.SZ,460874108.0,268915716.0,0.0470728869629,1.5722,,,
300240.SZ,365559750.0,174923060.0,0.190360763979,2.802,0.193100005388,0.2106000036,0.217099994421
300241.SZ,276499613.0,150008341.0,0.19316515264,3.7946,0.388099998236,0.704200029373,
300242.SZ,637174024.0,265308204.0,0.297407101047,3.4478,0.444799989462,0.526000022888,0.441900014877
300243.SZ,206864592.0,122866286.0,0.0704953998121,2.3465,0.339800000191,0.319000005722,
